fold,MAE_train,MAE_test,RMSE_train,RMSE_test,PCC_train,PCC_test
0,4.627823680453787,9.918115972222221,6.132258289389137,12.35590325702109,0.9672745280454368,0.7788178927449048
1,4.655641822617503,9.35361617063492,6.121417159335254,11.603607652457413,0.9684824623160045,0.8070594609433834
2,4.758888240380458,8.151047585978835,6.205062859913573,10.332101981909474,0.9682573461850539,0.8562590472619022
3,4.668555377987771,9.118029794973545,6.101318529548362,11.835568481258425,0.9688916862544185,0.8206191025852098
4,4.76622140370417,9.040022553011958,6.229262343104181,11.759799250486541,0.9670751828470017,0.7919309903926709
5,4.598681094595835,10.032350216450213,6.03553553337273,13.418690328819489,0.9685818692560634,0.7683616431227425
6,4.686672404265612,8.922013128033582,6.082021863200212,11.638624264902829,0.9692076373800442,0.8062114777148041
7,4.714738129644922,9.427479834054834,6.146498982485964,11.917547237442697,0.9680714279128986,0.7946347188650004
8,4.667789527882736,9.584387012987012,6.1640063618943515,12.509985197614757,0.9673233507946841,0.7875436347808444
9,4.585181350040454,9.434472425554244,6.062071714734089,11.984707434746419,0.968196607504766,0.8071576602967423
