fold,MAE_train,MAE_test,RMSE_train,RMSE_test,PCC_train,PCC_test
0,15.857038494103497,14.551749626370759,18.348758823842267,16.913631274749008,0.39765319638990937,0.4576514647445498
1,20.010752410716446,20.922256470590714,25.892672793628265,27.34891755448751,0.4065875320840854,0.31698661705694475
2,17.784961010498048,18.089379905360506,24.051978503151517,23.672081476363513,0.4123426173101601,0.4493777972239021
3,15.986379432904972,16.584544120302965,21.400326025205988,22.775164897345604,0.40075305844549686,0.35389034250572154
4,16.31800114780548,16.85058009394673,22.13050073249152,22.95935113581433,0.4175471878372775,0.34345596371821197
5,16.17146391080031,14.932003734784697,21.929536272031374,20.259229660838084,0.3986434760440167,0.463057271153335
6,15.251509906701122,14.569011365854049,17.920828099858163,17.47834763705971,0.38123379571985466,0.41183501504091874
7,18.957430100295028,19.5220237819703,22.00860154215223,22.84200590907498,0.4013436221176577,0.316223314826754
8,17.05794710322627,17.286301207214084,23.13714180482173,24.47731826911636,0.415297287349431,0.47360323428942386
9,15.673591744790556,15.572755803506766,20.890306966517105,20.120990297838684,0.3872250122745766,0.43409048923362065
