fold,MAE_train,MAE_test,RMSE_train,RMSE_test,PCC_train,PCC_test
0,15.689895963804819,15.741463039521216,18.41927545044787,18.584043121718327,0.26235225571423393,0.2133842100462193
1,22.434354073981563,23.39948522213465,27.732658589987615,27.934846640578858,0.08175115826605985,0.03939368178625418
2,16.526080226130695,16.17220529378975,20.966152822324084,19.99260021659873,0.1732995798116371,0.14472359048202219
3,17.246798133063912,18.19982143674103,21.737906481266442,21.78270902870909,0.125286963566722,0.12453881240809052
4,20.322280622532233,20.2027890665153,25.275057133598267,25.444152617208953,0.12223424076825819,0.07106517673802021
5,16.460849639402895,17.56707428708078,20.87019428039866,21.970184179894986,0.16190440548851764,0.2856420557014221
6,15.063422667987703,15.382444880408144,18.22090224601528,18.540540260321688,0.2758991311829336,0.21432620046780945
7,15.83372943821797,15.054308038013616,19.690559704113497,18.20653503895152,0.18653382635202775,0.3204530673844518
8,18.042119736575955,17.859512893417843,22.905277854305098,23.56796435461378,0.09972638162675863,0.09712691128699834
9,15.767983569914051,16.000324308207183,19.689319563207025,20.24052797119068,0.20038377462694046,0.15876333591226632
