fold,MAE_train,MAE_test,RMSE_train,RMSE_test,PCC_train,PCC_test
0,3.587492954864623,7.307010672049701,5.713294709884765,10.130954914401393,0.9593940991669739,0.8488589961822048
1,3.7067112301376657,7.572209356348663,5.990997863557927,9.761727070843833,0.9549205046208089,0.8573664379652751
2,3.6709051816709954,5.900028038395243,5.879911210213671,8.441608853846132,0.9578871698648964,0.8885986566249798
3,3.5181785817128635,6.539890091894969,5.561525535078675,9.321298127541292,0.9622333348011859,0.8783727512831262
4,3.714700592436747,6.716500448830405,6.004090875567421,9.161898746747992,0.9549588494541363,0.8708571813471824
5,3.461627148247045,7.411841221923814,5.452264685723384,10.364363328000833,0.9631999688975001,0.8771362354632535
6,3.677790099696552,6.939629516310093,5.7573993191133646,9.920997936936669,0.9589118451993154,0.8608861731535237
7,3.5325101444579503,7.321559613780792,5.637962092774024,10.093991567182092,0.96073919806031,0.8433271193145474
8,3.561771883469503,7.243152509299826,5.755379206798366,10.249034854743005,0.9579516888097307,0.8677888934242903
9,3.7306495301094307,6.619006351168336,5.930890900783844,9.666656326858176,0.9561743504548085,0.8741286670548197
