fold,MAE_train,MAE_test,RMSE_train,RMSE_test,PCC_train,PCC_test
0,8.288153305735427e-07,5.942754891994321,1.065291562432853e-06,7.870786442125591,0.9999999999999991,0.9126859041152512
1,8.271657535434477e-07,5.872078834531771,1.0618726597894432e-06,7.754036330051994,0.9999999999999989,0.9085284845606166
2,8.154156760842258e-07,6.3013605230988485,1.0510379692493436e-06,7.897896123898228,0.9999999999999987,0.8974249714947867
3,8.080392140818324e-07,6.6538262382856415,1.0361444971649032e-06,8.72452519129545,0.9999999999999991,0.891846783487123
4,8.177174589025265e-07,6.247630305407786,1.062584881658405e-06,7.987819241341142,0.9999999999999987,0.9031807118698574
5,8.069762670432882e-07,6.9513921211356,1.03504216203715e-06,8.997400949324824,0.999999999999999,0.9004987743969561
6,8.194383116598293e-07,5.594829956279291,1.0585254726107175e-06,7.13965900109733,0.9999999999999989,0.9265127791388112
7,7.880825988761582e-07,7.101514632385629,1.022270485283511e-06,9.189629592234299,0.9999999999999989,0.8705886276998696
8,8.089840209481878e-07,6.7125753045192225,1.0445978264524853e-06,8.360128510042108,0.9999999999999992,0.9054726614577593
9,8.139165948590586e-07,6.162792432530769,1.0442805306340651e-06,8.464551916263764,0.9999999999999992,0.8974313439611386
