fold,MAE_train,MAE_test,RMSE_train,RMSE_test,PCC_train,PCC_test
0,4.562704293496288,9.223778093434342,6.240156086165077,11.964284887516326,0.9636140706615677,0.8170443610790831
1,4.51235205585181,8.880619808201057,6.046993438722126,11.847969891935351,0.9680537484500698,0.7872223676143701
2,4.592865020185011,8.632125844757097,6.18682343936645,10.775616213934924,0.9667448395590916,0.8162571541569827
3,4.642363194267606,8.532477642649255,6.273198946729851,11.676892830300003,0.9639310626376411,0.8045295943924405
4,4.576628571709311,9.42176917552145,6.14529991622628,11.918718789359874,0.9662790968176401,0.8116757616164164
5,4.553860136242919,9.945399186671912,6.152081968400722,12.992497901956716,0.9660981746265038,0.7698873160055498
6,4.505317441367539,10.305114987537713,6.181631060811345,14.319127785515162,0.9630700811244359,0.6698342432262624
7,4.560984059255703,8.891836544011543,6.230680163984028,12.336409324659929,0.9642810733692012,0.8177558251731188
8,4.494817914062807,9.518523097861737,6.1471609897170785,12.64142042642285,0.9657310126594624,0.7557429238602962
9,4.602183696329612,9.582969470680837,6.272764972503925,11.728029795167407,0.9649879307612834,0.7867671656764754
