fold,MAE_train,MAE_test,RMSE_train,RMSE_test,PCC_train,PCC_test
0,6.786246217877293,8.937204644881417,9.04728996679741,11.094333657739604,0.897839746910926,0.8068013588769513
1,6.707614506169272,8.556475382245406,8.88127325527398,10.954461328204811,0.9031624992643645,0.8236710954216815
2,6.743310429429196,8.040037499015648,8.939241243933255,10.4768702740178,0.9017503566220257,0.8228701611049236
3,6.734519074612681,8.393592250164447,8.866589690647093,11.201786703880183,0.9026926534579842,0.8170424030917991
4,6.632988249900538,10.275281655468653,8.733210281607356,13.24406889752149,0.9041288257361038,0.7637616208587574
5,6.427116823774374,9.599347467112974,8.630729480713947,12.911438210950314,0.9072663194769663,0.7652362277587647
6,6.69630806085925,8.328029056720544,8.891750220446596,11.28361653753644,0.9017196072162488,0.7883609396870584
7,6.83764835408813,8.945584664183878,9.085831381463167,11.501946881639814,0.8953933012947299,0.8030162555291147
8,6.5362482540803315,9.573157164957061,8.742206515406268,12.04475273660478,0.9030992930712461,0.8160715416663921
9,6.534132212148694,8.843280013799658,8.62734688667532,11.923199529092301,0.9093248837876652,0.7901220263947649
