fold,MAE_train,MAE_test,RMSE_train,RMSE_test,PCC_train,PCC_test
0,0.35339091293603425,6.3644989523910755,2.7200699050135735,8.24564146589741,0.9896108139193748,0.8978932452969417
1,0.27443031992835304,6.379588463434606,2.462478220546757,8.243190887206728,0.9915078994401001,0.8931056352152497
2,0.2730859665258099,6.110708079945113,2.450291671025344,7.980673293911014,0.99162233070242,0.8960594717873455
3,0.2567661668196711,6.522113878142004,2.2527869450112203,8.90731224233705,0.9928565826239385,0.8791253137686529
4,0.2926085234968928,6.913336864381539,2.4476920758255263,8.672038574915597,0.9914390377540687,0.9045485539881799
5,0.344782471223496,5.491683955226493,2.6981450046127646,7.3956184775389975,0.9896270564034643,0.9288265689274547
6,0.3367544509308539,5.515010528623165,2.6687145773927963,7.247512045188849,0.9900176098269691,0.9199771112742121
7,0.3367543600234124,5.878793243379642,2.6687145773922594,7.576624018450005,0.989921548180423,0.9196922795383443
8,0.349952909215175,5.9741643037990615,2.706807661666189,7.730416038075833,0.9895247313761383,0.9267785042689061
9,0.3295571785569096,5.713807734088256,2.568697477951166,7.734907400067222,0.9906771495361097,0.9140641381238653
